FEN,Response Move
3rkbnr/pp6/2nppq1p/2P3p1/4P3/4BN1P/PP3PP1/RN1Q1RK1 b k - 0 12,d6c5
3rkbr1/1p1q1p2/4p2p/1Q1nB1p1/1P1P4/P3P3/5PPP/2R1K2R w K - 9 23,b5b6
3rkbr1/1p2qp2/4p2p/3nB1p1/1PQP4/P3P3/5PPP/2R1K2R w K - 7 22,c4b5
3rkq1r/2p2p1p/p1p1Np1b/8/1P2P3/2P2Q2/P4PPP/RN3RK1 b k - 0 14,f7e6
3rkq1r/2p4p/p1p1p2b/4Pp2/1P6/2P2Q2/P2N1PPP/R4RK1 b k - 1 16,f8g7
3rkq1r/2p4p/p1p1pp1b/4P3/1P6/2P2Q2/P4PPP/RN3RK1 b k - 0 15,f6f5
3rr1k1/p3Bppp/8/8/2p5/2Pp1B2/P2N2P1/R3R2K b - - 4 24,d8d7
3rr3/p1N2ppk/7p/P3p3/3nP2b/3B4/1PPP4/R1BK4 b - - 11 33,e8e7
4B3/8/8/8/1kp5/p1N5/1p6/1K6 b - - 1 58,b4c3
4B3/8/8/8/1kp5/ppN5/8/2K5 b - - 1 57,b3b2
4B3/8/8/8/pkp5/1pN5/1K6/8 b - - 3 56,a4a3
4K3/5P2/5r2/5k2/8/8/8/8 b - - 2 66,f6f7
4K3/5r2/6q1/8/4p3/4k3/8/8 b - - 7 65,g6e6
4N3/2k5/2P5/3P4/2K1B3/8/8/8 b - - 2 58,c7d8
4N3/pp6/2kr4/5QP1/2p1P3/P1P5/1P1r4/2K2R2 w - - 1 43,e8d6
4Q3/3r4/pkn5/1p1r4/8/2P5/PP3PPP/R4RK1 b - - 8 30,d7d8
4Q3/6k1/8/8/8/8/5K2/4R3 b - - 0 62,g7h7
4Q3/7k/8/8/8/8/4K3/4R3 b - - 2 63,h7h6
4Q3/8/7k/8/8/8/8/3KR3 b - - 4 64,h6h7
4Q3/8/8/1p1p4/p1p2p2/P1Pk4/8/3KB3 w - - 1 51,e8b5
4Q3/8/pp5R/6N1/3k4/P4PP1/1P5P/1K6 b - - 0 38,d4d3
4Q3/R7/3b1p1k/6p1/P5P1/2P2K2/2B5/8 b - - 0 60,f6f5
4Q3/R7/3b1p1k/6p1/P5P1/2P2P2/2Bn2K1/8 b - - 0 59,d2f3
4Q3/R7/3b3k/5Bp1/P5P1/2P2K2/8/8 b - - 0 61,d6f4
4Q3/p4p2/Pp1pk3/4p2P/2P1P3/K1b1qP1P/8/8 b - - 1 47,e6f6
4Qb1r/4n2p/p3kp2/q4N2/1pp1PB2/8/P1P2PPP/3R2K1 b - - 7 26,a5f5
4Qbnr/7p/p3kp2/q4N2/1pp1P3/4B3/P1P2PPP/3R2K1 b - - 5 25,g8e7
4Qr1k/pb4pp/3q1p2/8/1pB5/1P6/P1P3PP/4RR1K b - - 1 25,h7h6
4R1k1/5ppp/3b3q/p7/P7/2P5/RP3PPP/6K1 b - - 0 25,d6f8
4R3/1P3kp1/1r5p/8/5P2/4P3/p7/K7 w - - 3 43,b7b8q
4R3/5pkp/3b2p1/p6q/P4P1P/2P3P1/1P6/4R1K1 b - - 0 30,h5f3
4R3/5pkp/3b2pq/p7/P4P2/2P3P1/1P5P/4R1K1 b - - 0 29,h6h5
4R3/8/4R3/5P2/4p3/3p1k2/8/6K1 b - - 3 66,d3d2
4R3/8/5R2/5P2/4p1k1/3p4/8/6K1 b - - 1 65,g4f3
4R3/kb6/p7/1p3n1P/5r2/8/P1P5/4K1b1 b - - 0 37,f4h4
4R3/kb6/pb4R1/1p3n2/5r1P/8/P1P3p1/4K3 b - - 5 35,g2g1q
4R3/kb6/pb5n/1p6/5r1P/6R1/P1P3p1/4K3 b - - 3 34,h6f5
4R3/kb6/pb6/1p3n2/5r1P/8/P1P5/4K1R1 b - - 0 36,b6g1
4R3/p4k1p/8/6B1/4p3/7P/5PP1/6K1 b - - 0 43,f7e8
4R3/p5p1/6k1/3P3p/8/2P4K/P5PP/1R6 b - - 0 32,g6g5
4R3/p5pk/6N1/7p/3P4/2P4K/P5PP/1R6 b - - 0 31,h7g6
4R3/pkp2nrp/1p1b4/5p2/3P4/1P6/P4P1P/4R2K b - - 5 26,f7g5
4R3/pkp3Rp/1p1b4/5p2/3P4/1P3n2/P4P1P/7K b - - 0 28,f3h2
4R3/pkp3rp/1p1b4/5pn1/3P4/1P6/P4P1P/6RK b - - 7 27,g5f3
4R3/pkp4R/1p1b4/5p2/3P4/1P6/P4P1n/7K b - - 0 29,h2f3
4R3/pkp5/1p1b4/5p2/3P4/1P3n1R/P4P2/7K b - - 2 30,f3d4
4R3/pkp5/1p1b4/5p2/3n4/1P1R4/P4P2/7K b - - 1 31,d4c2
4RR2/4k1r1/p3p3/4p3/1p1pBb2/1P5K/P6P/8 b - - 16 38,e7d7
4Rb2/5pkp/6pq/p7/P7/2P3P1/1P3P1P/4R1K1 b - - 0 28,f8d6
4Rbk1/5p1p/6pq/p7/P7/2P5/1P3PPP/4R1K1 b - - 1 27,g8g7
4Rbk1/5ppp/7q/p7/P7/2P5/1P3PPP/R5K1 b - - 2 26,g7g6
4Rbnr/2pk1ppp/Q2p4/1p6/1P1p4/P2q4/5P2/5RK1 b - - 0 27,d7e8
4Rk2/p4ppp/8/8/2p5/2Pp1B2/P2N2P1/1R5K b - - 0 27,f8e8
4b3/2r2ppk/3B3p/4p3/2P1P3/1P4P1/PK3P1P/5R2 b - - 1 30,c7d7
4b3/3r1ppk/7p/4B3/2P1P3/1P4P1/PK3P1P/5R2 b - - 0 31,f7f6
4b3/3r2pk/5p1p/8/2P1P3/1PB3P1/PK3P1P/5R2 b - - 1 32,e8f7
4b3/4k2p/2r5/p7/8/BP2P3/P2R2PP/R5K1 b - - 1 29,e7f7
4b3/5k1p/2r5/p7/8/BP2P3/P4RPP/R5K1 b - - 3 30,f7g8
4b3/p3k2p/2r5/8/8/1P2P3/P2R2PP/R1B3K1 b - - 0 28,a7a5
4b3/p3k2p/8/8/8/4P3/PPrR2PP/R1B3K1 b - - 0 27,c2c6
4bk2/6p1/3p1pP1/4pP1p/RP1pP2P/2rP4/1KP5/2R5 b - - 0 35,e8a4
4bk2/r5p1/3p1pP1/4pP1p/PP1pP2P/2rP4/1KP5/R1R5 b - - 2 34,a7a4
4k1Q1/3nbr2/p6p/3q2p1/5p2/3N4/PPr4P/R1BR1K2 b - - 3 33,f7f8
4k1nr/2q3pp/2n1pp2/pB6/1b6/1PP5/1B3PPP/R2Q1RK1 b k - 0 24,b4d6
4k1nr/2q3pp/2n1pp2/pB6/2P5/1P6/1B3PPb/R2Q1R1K b k - 1 26,g8e7
4k1nr/2q3pp/2nbpp2/pB6/2P5/1P6/1B3PPP/R2Q1RK1 b k - 0 25,d6h2
4k1nr/3b4/3pq2b/2p1p2p/2PnP1pP/Q5B1/P2N1PP1/1N2KB1R b Kk - 2 21,d4c2
4k1nr/3bq3/3p3b/2p1p2p/2PnP1pP/6B1/P2N1PP1/1NQ1KB1R b Kk - 0 20,e7e6
4k1nr/3bq3/3p3b/2p1pp1p/2PnP1pP/3P2B1/P2N1PP1/1NQ1KB1R b Kk - 0 19,f5e4
4k1nr/3nb1p1/3p1pp1/8/R1P1P3/5P2/1r4PP/4KB1R b k - 0 27,e8f7
4k1nr/3p3p/rB2p1p1/p7/2B1P3/P1N5/P2K1QPP/R5NR b k - 0 18,g8f6
4k1nr/4q1pp/2n1pp2/pB6/1b6/1P6/1BP2PPP/R2Q1RK1 b k - 1 23,e7c7
4k1nr/5pp1/2n4p/1p2p3/q1P1P1PP/2P3Q1/3KB3/r1B3NR b k - 2 22,b5c4
4k1nr/5pp1/2n4p/4p3/2p1P1PP/2P1K1Q1/r1q5/2B3NR b k - 1 25,c2c3
4k1nr/5pp1/2n4p/4p3/q1p1P1PP/2P3Q1/3K4/r1BB2NR b k - 1 23,a1a2
4k1nr/5pp1/2n4p/4p3/q1p1P1PP/2P3Q1/r1BK4/2B3NR b k - 3 24,a4c2
4k1nr/5ppp/4p3/1b1p4/pb1B4/N3K3/1Pr1PPPP/3R1BNR b k - 1 20,b5c4
4k1nr/5ppp/4p3/3p4/pbbB4/4K3/1PN1PPPP/3R1BNR b k - 0 21,b4d2
4k1nr/pp6/2n1p2p/2b3p1/4Pq2/N4N1P/PP3PP1/2RR2K1 b k - 3 16,c5d6
4k1nr/pp6/2n1pq1p/2b3p1/4P3/N4N1P/PP3PP1/R2R2K1 b k - 1 15,f6f4
4k1nr/pp6/2nRp2p/1N4p1/4P3/5N1P/PP2KPq1/2R5 b k - 0 20,g8e7
4k1nr/pp6/2nbp2p/1N4p1/4P3/5N1P/PP2KPP1/2RR3q b k - 9 19,h1g2
4k1nr/pp6/2nbp2p/1N4p1/4P3/5N1P/PP3PPq/2RR1K2 b k - 7 18,h2h1
4k1nr/pp6/2nbp2p/1N4p1/4Pq2/5N1P/PP3PP1/2RR2K1 b k - 5 17,f4h2
4k1r1/5p2/4bQp1/8/8/6P1/PP1r1BKP/8 b - - 0 31,e6a2
4k1r1/5p2/6p1/4Q3/8/6P1/bP1r1BKP/8 b - - 1 32,a2e6
4k1r1/B4p2/4bQp1/8/4q3/6P1/PP1r1R1P/6K1 b - - 4 29,e4e1
4k1r1/B4p2/4bQp1/8/4q3/6P1/PP5P/3r1RK1 b - - 2 28,d1d2
4k1r1/B4p2/4bQp1/8/8/6P1/PP1r1RKP/4q3 b - - 6 30,e1f2
4k1r1/p4p2/2p1pP2/1p2P2r/P7/6Pp/1P5P/R3BRK1 w - - 1 26,a4b5
4k1r1/p4p2/4pP2/1p2P2r/8/6Pp/1P5P/R3BRK1 w - - 0 27,e1c3
4k1r1/p4p2/4pP2/4P2r/1p6/2B3Pp/1P5P/R4RK1 w - - 0 28,c3d4
4k1rr/p4p2/2p1pP2/1p2P3/7p/8/PP4PP/R3BRK1 w - - 1 24,a2a4
4k1rr/p4p2/2p1pP2/1p2P3/P7/7p/1P4PP/R3BRK1 w - - 0 25,g2g3
4k2N/1b2bBpp/p1nB4/1p6/8/8/PP3PPP/R2Q2K1 b - - 2 22,e8f8
4k2Q/7p/rB2p1p1/p2p4/2B1P3/P1N5/P2K2PP/R5NR b - - 0 20,e8f7
4k2r/1p2b1p1/p1nBQ2p/8/8/8/PPP1PPPP/R3KB1R b KQ - 2 16,h8f8
4k2r/1p2n2p/6p1/p2p4/P7/KP1q4/2r4P/1R2R3 b - - 5 28,d3c3
4k2r/1p2n2p/6p1/p2p4/P7/KPq5/2r4P/1R1R4 b - - 7 29,c3b4
4k2r/1p2n2p/6p1/p2p4/P7/KPrq4/1R5P/4R3 b - - 3 27,c3c2
4k2r/1r4bp/5pp1/4p3/3pP3/3P4/B2B1PPP/R4RK1 b - - 3 32,b7a7
4k2r/2pbqpp1/2np3p/4P3/1PB1n3/1QP2N2/R5PP/rNB3K1 b k - 1 16,a1a2
4k2r/2pbqpp1/2np3p/4P3/1PB1n3/2P2N2/Q5PP/1NB3K1 b k - 0 17,d6e5
4k2r/2q1n1pp/2n1pp2/pB6/2P5/BP6/5PPb/R2Q1R1K b k - 3 27,e8g8
4k2r/3Bp2p/2p3p1/3p2P1/1rnb4/8/4PP2/4NK1R b k - 0 28,e8d7
4k2r/3N1pp1/q2b1n1p/2pP4/2p1P3/2P5/2BN1PPP/2BQR1K1 b k - 0 20,f6d7
4k2r/3b2bp/nR1n4/6p1/4P3/3P2P1/P1P2PBP/5RK1 b k - 0 21,e8e7
4k2r/3bp1bp/2p3p1/3p2P1/1BnP4/8/4PPB1/1r2NK1R b k - 0 26,g7d4
4k2r/3bp1bp/2pn2p1/3p2P1/1p1P4/5N2/3BPPB1/rN3K1R b k - 5 24,a1b1
4k2r/3bp1bp/2pn2p1/3p2P1/1p1P4/5N2/r3PPB1/1NB2K1R b k - 3 23,a2a1
4k2r/3bp1bp/2pn2p1/3p2P1/1p1P4/8/3BPPB1/1r2NK1R b k - 1 25,d6c4
4k2r/3bp1bp/2pn2p1/3p2P1/rp1P4/5N2/1B2PPB1/1N3K1R b k - 1 22,a4a2
4k2r/3bp2p/2p3p1/3p2P1/1Bnb4/7B/4PP2/1r2NK1R b k - 1 27,b1b4
4k2r/3n1pp1/q2b3p/2pP4/B1p1P3/2P5/3N1PPP/2BQR1K1 b k - 1 21,e8e7
4k2r/3p3p/rB2pQp1/p7/2B1P3/P1N5/P2K2PP/R5NR b k - 0 19,d7d5
4k2r/3r2bp/5pp1/4p3/1B1pP3/3P4/B4PPP/R4RK1 b - - 1 31,d7b7
4k2r/5p2/2p1b2p/b1N1P1p1/1nP5/1P6/1B1N1PPP/6K1 b k - 1 22,e8g8
4k2r/6pp/p3pn2/2p1b1N1/8/5QP1/PPP2PKP/2q5 b k - 2 20,e8g8
4k2r/6pp/p3pn2/2p1b1N1/8/5QP1/PPPq1P1P/6K1 b k - 0 19,d2c1
4k2r/Bpp1bppp/4p3/8/6P1/5P2/P3N1KP/3R4 b k - 0 25,e8g8
4k2r/p1N1b3/p4n2/5p1p/1P4pP/P7/2Pr1PP1/4R1K1 b k - 5 26,e8f7
4k2r/p2nbpp1/4b3/2p4p/8/2P1PB2/PP3PPP/RNB2RK1 b k - 2 14,e8g8
4k2r/pp6/3p1Rp1/2pPp3/4P1p1/3P4/PP3KPr/5R2 b - - 1 22,h8f8
4k2r/pp6/3p1Rpr/2pPp3/4P1p1/3P4/PP4PP/5RK1 b - - 2 21,h6h2
4k2r/ppN1n3/2nRp2p/6p1/4P3/5N1P/PP2KPq1/2R5 b k - 2 21,e8f7
4k2r/ppp2pp1/1b5p/4P3/4N3/8/PPnB1PPP/R5K1 b k - 0 18,c2a1
4k2r/r2Q2bp/3B1pp1/4p3/3pP3/3P4/B4PPP/R4RK1 b - - 0 30,a7d7
4k2r/r4Bbp/5pp1/4p3/3pP3/3P4/3B1PPP/R4RK1 b - - 5 33,e8f7
4k3/1R2P1p1/P1p2p2/2Np3p/7P/3Q1P2/5KP1/8 b - - 2 38,g7g5
4k3/1R4p1/7p/5P2/1pr5/7P/6K1/8 b - - 0 44,e8d8
4k3/1p1n1p1r/p5p1/3PN1Pp/8/PP5P/2P5/1K5R w - - 1 34,h1e1
4k3/3R4/1q2p3/2p5/5P2/8/pb3PPP/3R2K1 w - - 2 37,d7d6
4k3/3bp3/3p1p1K/3Pr3/p1r3P1/7P/P1P2RP1/8 b - - 0 35,d7g4
4k3/3bp3/3p1p1p/3P3K/p1r3P1/7P/P1P2RP1/4r3 b - - 1 34,e1e5
4k3/3bp3/3p1p1p/3P4/p1B3PK/2r4P/P1P2RP1/4r3 b - - 1 33,c3c4
4k3/3bp3/3p1p1p/p2P4/6PK/1Br4P/P1P2RP1/4r3 b - - 1 32,a5a4
4k3/3n4/p1r3pr/P1p1p2p/3pP2P/1P1P1P2/2PK2P1/1R5R b - - 3 23,e8e7
4k3/3n4/p3r1pr/P1p1p2p/3pP2P/1P1P1P2/2P3P1/1R2K2R b K - 1 22,e6c6
4k3/3n4/pr2N1pr/P1p1p2p/3pP2P/1P1P1P2/2P3P1/R3K2R b KQ - 0 21,b6e6
4k3/3n4/prp1N1pr/4p2p/P2pP2P/1P1P1P2/2P3P1/R3K2R b KQ - 0 20,c6c5
4k3/3nbr2/p5Qp/1q4p1/5p2/3N4/PPr4P/R1BR1K2 b - - 1 32,b5d5
4k3/4bp2/2n4p/5p2/Q3P3/1P1P2P1/P1P4P/1K1R3R b - - 0 34,e8d7
4k3/4p3/3p1p1K/3Pr3/p1r3P1/8/P1P2RP1/8 b - - 0 36,c4g4
4k3/4p3/3p1p1K/3Pr3/p5r1/5R2/P1P3P1/8 b - - 1 37,g4h4
4k3/4p3/3p1pK1/3Pr3/p6r/5R2/P1P3P1/8 b - - 3 38,e5g5
4k3/5RB1/8/8/7K/p7/7P/8 b - - 0 51,e8f7
4k3/5p2/6r1/R3P1N1/3B1K2/2P1P3/8/8 b - - 2 54,g6g5
4k3/5p2/7p/6p1/P7/3RP1P1/3pKP1P/2b5 b - - 4 39,g5g4
4k3/5p2/7p/P7/6p1/2b1P1P1/R3KP1P/8 b - - 2 42,c3a5
4k3/5p2/7p/P7/6p1/3RP1P1/3pKP1P/2b5 b - - 0 40,c1b2
4k3/5p2/7p/P7/6p1/4P1P1/1b1RKP1P/8 b - - 0 41,b2c3
4k3/5p2/7p/R7/6p1/4P1P1/4KP1P/8 b - - 0 43,e8e7
4k3/5p2/8/R3P1K1/3B4/2P1P3/8/8 b - - 0 55,e8e7
4k3/8/3qp3/2p5/5P2/8/pb3PPP/3R2K1 w - - 0 38,d1d6
4k3/8/8/2P5/p2BK3/8/1P6/8 w - - 1 54,e4d5
4k3/8/8/8/1P1N1pR1/3B1P2/3K4/8 b - - 4 62,e8d8
4k3/8/prp1Nnpr/4p2p/3pP2P/1P1P1P2/P1P3P1/R3K2R b KQ - 0 19,f6d7
4k3/R4P2/3p4/3P4/2P3K1/4B1P1/8/8 b - - 0 50,e8f8
4k3/R4PB1/8/5r2/7K/p7/7P/8 b - - 0 50,f5f7
4k3/R4p2/3p1p2/p3pPb1/Pp1p2Pr/1P1P1PK1/8/1R6 b - - 6 38,e8f8
4k3/R5B1/5P2/8/7K/p4r2/7P/8 b - - 0 49,f3f5
4k3/R5B1/5P2/8/7p/p6K/7P/5r2 b - - 0 48,f1f3
4k3/p5p1/4p3/8/P2P4/2b2P1K/8/8 b - - 0 37,c3d4
4k3/p5p1/4p3/8/P2b2K1/5P2/8/8 b - - 1 38,e8f7
4k3/p5p1/4p3/8/Pb1P4/7K/5P2/8 b - - 0 36,b4c3
4k3/p6p/8/8/4p3/4B2P/5PP1/6K1 b - - 1 44,e8f7
4k3/p6r/2p5/8/P2R4/1P5p/1KP5/8 w - - 0 39,d4d1
4k3/p6r/2p5/8/PR5p/1P6/1KP5/8 w - - 3 38,b4d4
4k3/pR1r4/2p5/8/P6p/1P6/1KP5/8 w - - 1 37,b7b4
4k3/pR3p1p/6p1/8/2N5/2Pp1B2/P5P1/7K b - - 0 29,e8f8
4k3/pR3ppp/8/8/2p5/2Pp1B2/P2N2P1/7K b - - 1 28,g7g6
4k3/pr3R2/2p5/8/P6p/1P6/1KP5/3r4 w - - 0 36,f7b7
4kR2/pp6/3p2p1/2pPp3/4P1p1/3P4/PP3KPr/5R2 b - - 0 23,e8f8
4kb1Q/p3qp2/2N1p1p1/2P4p/5P2/1r3PK1/6PP/7R b - - 0 29,e7c5
4kb1Q/p4p2/4p1p1/2q1N2p/5P2/1r3PK1/6PP/7R b - - 1 30,a7a5
4kb1r/1p2pppp/5P2/p1QN4/8/8/PP3PPP/R1B1KBNR b KQk - 0 12,b7b6
4kb1r/1p3ppp/1qp5/3p1p2/3Pn3/1P1QP3/2K1NPPP/r4R2 b k - 1 17,b6a5
4kb1r/1p3ppp/1qp5/3p1p2/3Pn3/1P1QP3/r3NPPP/B2K1R2 b k - 1 16,a2a1
4kb1r/1p3ppp/2p5/q2p1p2/3Pn3/1P1QPP2/2K1N1PP/r4R2 b k - 0 18,a5a2
4kb1r/1p4p1/p1n1Q2p/4B3/8/8/PPP1PPPP/R3KB1R b KQ - 0 15,f8e7
4kb1r/1pp1pppp/2n2P2/p2N4/6Q1/8/PP3PPP/R1B1KBNR b KQk - 0 10,c6d4
4kb1r/1pp1pppp/5P2/p2N4/3Q4/8/PP3PPP/R1B1KBNR b KQk - 0 11,c7c5
4kb1r/3b1pp1/Rq3n1p/2pPp3/2p1P3/2P2N2/2BN1PPP/2BQR1K1 b k - 0 18,b6a6
4kb1r/3b1pp1/q4n1p/2pPN3/2p1P3/2P5/2BN1PPP/2BQR1K1 b k - 0 19,f8d6
4kb1r/3b2Bp/nq1n4/6p1/4P3/3P2P1/P1P2PBP/1R3RK1 b k - 0 20,f8g7
4kb1r/4pppp/p4P2/1p6/3P4/2Qp3P/PP1P1P1P/R1B2RK1 b k - 0 16,e7f6
4kb1r/5ppp/p4p2/1p6/3P4/2Qp3P/PP1P1P1P/R1B1R1K1 b k - 1 17,f8e7
4kb1r/8/1q1p1p2/3Pp1p1/1Pp1P2p/4NPnP/5KP1/Q3B1R1 b k - 0 32,e8f7
4kb1r/p3n1p1/4p3/8/3B3N/2P4R/P4P2/5K2 b k - 0 30,e7f5
4kb1r/p3npp1/2r5/8/3BR2p/2P2N2/P4PK1/7R b k - 3 26,c6g6
4kb1r/p3npp1/4R3/8/3B3N/2P4p/P4P2/5K1R b k - 0 29,f7e6
4kb1r/p3npp1/6r1/8/3BR2N/2P4p/P4P2/5K1R b k - 1 28,g6e6
4kb1r/p3npp1/6r1/8/3BR2p/2P2N2/P4P2/5K1R b k - 5 27,h4h3
4kb1r/p4p1p/4bq2/2p1p3/2Pp4/3P1N2/Pr3PPP/1R1Q1RK1 b k - 1 16,e6g4
4kb1r/p4p1p/5q2/2p1p3/2Pp2b1/3P1N2/PR3PPP/3Q1RK1 b k - 0 17,h7h5
4kb1r/p4p2/5q2/2p1p2p/2Pp2bN/3P4/PR3PPP/3Q1RK1 b k - 1 18,f8e7
4kb1r/p5p1/4p3/5n2/3B2K1/2P4R/P4P2/8 b k - 3 33,h8h3
4kb1r/p5p1/4p3/5n2/3B3N/2P4R/P4PK1/8 b k - 2 31,f5h4
4kb1r/p5p1/4p3/8/3B3n/2P3KR/P4P2/8 b k - 1 32,h4f5
4kb1r/ppp1pppp/8/3r4/5N2/4BP2/P4KPP/1q3B1R b k - 1 18,d5d1
4kb1r/ppp1pppp/8/8/5NP1/4BP2/P1q4P/3r1BKR b k - 2 20,d1f1
4kb1r/ppp1pppp/8/8/5NP1/4BP2/P1q4P/5K1R b k - 0 21,c2d1
4kb1r/ppp1pppp/8/8/5NP1/4BP2/P4K1P/1q1r1B1R b k - 0 19,b1c2
4kb1r/ppp1pppp/8/8/5NP1/4BP2/P5KP/3q3R b k - 2 22,d1e2
4kb1r/ppp1pppp/8/8/6P1/4BP2/P3N1KP/7R b k - 0 23,e7e6
4kb1r/ppp2ppp/4p3/8/6P1/4BP2/P3N1KP/3R4 b k - 1 24,f8e7
4kb2/p5p1/4p3/5n2/3B4/2P4K/P4P2/8 b - - 0 34,f5d4
4kb2/p5p1/4p3/8/3P4/7K/P4P2/8 b - - 0 35,f8b4
4kbQ1/1r3p2/2N1p1p1/p6p/1q3P2/5PK1/6PP/3R4 b - - 5 33,b4b6
4kbQ1/1r3p2/4p1p1/p1q1N2p/5P2/5PK1/6PP/3R4 b - - 3 32,c5b4
4kbQ1/5p2/4p1p1/p1q1N2p/5P2/1r3PK1/6PP/7R b - - 1 31,b3b7
4kbnr/2r2ppp/4p3/1b1p4/pp1B4/P3K3/1P2PPPP/1N1R1BNR b k - 0 18,c7c2
4kbnr/4pppp/p7/1p2P3/3P4/2Qp3P/PP1P1P1P/R1B2RK1 b k - 0 15,g8f6
4kbnr/5ppp/4p3/1b1p4/pP1B4/4K3/1Pr1PPPP/1N1R1BNR b k - 0 19,f8b4
4kbnr/R2n2p1/3p1pp1/8/b1P1P3/5P2/1r4PP/4KB1R b k - 2 26,f8e7
4kbnr/p2p1pp1/4p2p/1Nr4q/2P2Q2/P4P2/2P2P1P/R1B2RK1 b k - 1 15,g8e7
4kbnr/pp1rnp1p/4p1p1/1Np5/4P3/8/PPP2PPP/R1BQ1RK1 b k - 0 12,d7d1
4kbnr/pp1rnp1p/4p1p1/qBp5/4P3/2N5/PPP2PPP/R1BQ1RK1 b k - 1 11,a5b5
4kbnr/pp2np1p/4p1p1/1Np5/4P3/8/PPP2PPP/R1BR2K1 b k - 0 13,e7c6
4kbnr/pp6/2n1pq1p/2B3p1/4P3/5N1P/PP3PP1/RN1R2K1 b k - 0 14,f8c5
4kbnr/ppN2p1p/2n1p1p1/2p5/4P3/8/PPP2PPP/R1BR2K1 b k - 2 14,e8e7
4kbr1/1p1rqp2/4pn1p/4B1p1/1PQP4/P3P3/5PPP/2R1K2R w K - 3 20,c4c8
4kbr1/8/p1B1pq2/4p2p/1p1p2p1/1P4P1/P4P1P/R2Q1RK1 b - - 1 21,e8e7
4kbr1/8/p3pq1p/3Bp3/1p1p2p1/1P4P1/P4P1P/R2Q1RK1 b - - 1 20,h6h5
4kr2/1p2b1p1/p1nBQ2p/8/8/8/PPP1PPPP/2KR1B1R b - - 4 17,c6d4
4kr2/3nb3/p5Qp/3q2p1/5p2/3N4/PPr4P/R1BR1K2 b - - 5 34,e8d8
4krr1/R3n3/3pp2p/1Q2b3/4N3/4BP1q/1PP5/3K1R2 b - - 0 29,e8f7
4n3/p2N3p/2N1P3/5K2/2k5/5P2/7P/2R5 b - - 4 48,c4d5
4n3/p2N3p/2RkP3/5K2/1N6/5P2/7P/8 b - - 8 50,d6e7
4n3/p2N3p/4P3/3k1K2/1N6/5P2/7P/2R5 b - - 6 49,d5d6
4n3/p2Nk2p/2R1P3/3N1K2/8/5P2/7P/8 b - - 10 51,e7d8
4qrk1/1r3pp1/p1p1p1bp/4B3/PP1P2Q1/2P1PR2/6PP/R5K1 b - - 2 22,f7f5
4qrk1/1r4p1/p1p1p1bp/4Bp2/PP1P4/2P1PRQ1/6PP/R5K1 b - - 1 23,g6h5
4qrk1/1r4p1/p1p1p2p/4Bp1b/PP1P1R2/2P1P1Q1/6PP/R5K1 b - - 3 24,g7g5
4qrk1/1r6/p1p1p2p/4Bppb/PP1P3R/2P1P1Q1/6PP/R5K1 b - - 1 25,e8g6
4qrk1/2B2pp1/prp1p1bp/8/PP1P2Q1/2P1PR2/6PP/R5K1 b - - 0 21,b6b7
4r1k1/1R4pp/p5n1/2p5/3p1P2/P3n2N/P4K1P/4R3 w - - 0 29,a3a4
4r1k1/1p1n1pbp/2p3p1/q2p2Pb/3P1P2/2PB1N1P/PP3P2/R3K2R w KQ - 0 18,f3e5
4r1k1/1p3p1p/2p3p1/q2pb1Pb/3P4/2PB3P/PP3P2/R3K2R w KQ - 0 20,d4e5
4r1k1/1p3p1p/2p3p1/q5Pb/5P2/2PB3P/P2K4/R6R w - - 1 24,a1b1
4r1k1/1p3p2/pNnqbn1p/P2p2p1/3Pp3/4P2P/1PPNBPP1/R2Q1RK1 b - - 0 17,g8h7
4r1k1/1p3pbp/2p3p1/q2pn1Pb/3P1P2/2PB3P/PP3P2/R3K2R w KQ - 0 19,f4e5
4r1k1/1p4pp/p1p3n1/3p4/2n2PP1/P1q1P2N/P3QK1P/R4R2 w - - 2 21,a1c1
4r1k1/1p4pp/p1p3n1/3p4/2n2PP1/P3q2N/P3QK1P/2R2R2 w - - 0 22,e2e3
4r1k1/1p4pp/p1p3n1/3p4/5P2/P3n1KN/P6P/2R1R3 w - - 2 25,c1c3
4r1k1/1p4pp/p1p3n1/3p4/5PP1/P3n2N/P4K1P/2R2R2 w - - 0 23,f1e1
4r1k1/1p4pp/p1p3n1/3p4/5Pn1/P6N/P4K1P/2R1R3 w - - 0 24,f2g3
4r1k1/1p4pp/p1p3n1/5n2/3p1P2/PR4KN/P6P/4R3 w - - 2 27,g3f2
4r1k1/1p4pp/p1p3n1/8/3p1P2/P1R1n1KN/P6P/4R3 w - - 0 26,c3b3
4r1k1/1p4pp/p1p3n1/8/3p1P2/PR2n2N/P4K1P/4R3 w - - 4 28,b3b7
4r1k1/1r3pp1/p1b4p/b2N4/4PP2/3pK1P1/P2P4/R1B1R3 b - - 3 32,c6d5
4r1k1/1r3pp1/p1b4p/b7/4PP2/3K2P1/PB1P4/R3R3 b - - 2 34,c6b5
4r1k1/1r3pp1/p6p/Pb1N2b1/3pPP2/6P1/P2P4/R1B1R1K1 b - - 0 28,g5d8
4r1k1/1r3pp1/p6p/Pb1N4/3pP2b/6P1/P2P1P2/R1B1R1K1 b - - 0 27,h4g5
4r1k1/1r3pp1/p6p/b2b4/4PP2/3K2P1/P2P4/R1B1R3 b - - 0 33,d5c6
