FEN,Response Move
1b4k1/6p1/2B2p1p/p1K5/2P5/1P6/8/R2Q4 b - - 1 44,g8h7
1b6/3Q3k/5ppp/p1K5/2P1B3/1P6/8/R7 b - - 1 46,h7g8
1b6/6pk/5p1p/p1K5/2P1B3/1P6/8/R2Q4 b - - 3 45,g7g6
1b6/p4pkb/6pp/8/1P1pB3/P2P2PP/1q3P2/R2Q2K1 b - - 3 28,b8c7
1b6/p4pkb/6pp/8/1P1pB3/P2P2PP/2q2P2/R3Q1K1 b - - 1 27,c2b2
1k1K4/1pR5/pP4q1/4n3/P2pP3/8/8/5r2 b - - 9 48,f1f8
1k1Q1b1r/pp3p2/4bp2/2q4p/3p3N/PP1P2P1/4PPBP/R5K1 b - - 0 20,e6c8
1k1n4/1p6/p2p4/1P2B3/P3P3/3P2p1/2RK2P1/5r2 b - - 0 33,d6e5
1k1n4/1p6/p2p4/1P2r3/P2BP3/3P2p1/2RK2P1/5R1r b - - 0 32,h1f1
1k1n4/1p6/pP6/4p3/P3P3/2KP2p1/2R2rP1/8 b - - 2 35,d8c6
1k1n4/1p6/pP6/4p3/P3P3/3P2p1/2RK2P1/5r2 b - - 0 34,f1f2
1k1n4/pp6/3p4/1P2r3/P2pP3/3P2p1/2RK2P1/5RBr b - - 0 31,a7a6
1k1r1b1r/1bp1nppp/1p6/PN2p3/8/5P2/1PPP1PBP/R1B1K2R b KQ - 0 13,e7d5
1k1r1b1r/1bp2ppp/Pp6/1N1np3/8/5P2/1PPP1PBP/R1B1K2R b KQ - 0 14,b7c6
1k1r1b1r/P1p2ppp/1pb5/1N1np3/8/5P2/1PPP1PBP/R1B1K2R b KQ - 0 15,b8b7
1k1r1b1r/pp2qp2/3pbp2/Q1P4p/3p3N/PP1P2P1/4PPBP/R1R3K1 b - - 0 18,d6c5
1k1r1b1r/pp2qp2/4bp2/Q1R4p/3p3N/PP1P2P1/4PPBP/R5K1 b - - 0 19,e7c5
1k1r1b2/1bqB4/2N1pn1p/p1p2p2/Q4B2/2P5/PP3PrP/R2R1K2 b - - 2 20,b7c6
1k1r1b2/2BB4/2b1pn1p/p1p2p2/Q7/2P5/PP3PrP/R2R1K2 b - - 0 21,b8c7
1k1r1bnr/1bp1pppp/1p6/1N6/8/5P2/PPPP1PBP/R1B1K2R b KQ - 2 11,e7e5
1k1r1bnr/1bp2ppp/1p6/1N2p3/P7/5P2/1PPP1PBP/R1B1K2R b KQ - 0 12,g8e7
1k1r1bnr/ppB1p3/4bp2/qP1p2p1/3P3p/3NPP2/4B1PP/1RR3K1 b - - 0 21,a5c7
1k1r1bnr/ppR1p3/4bp2/1P1p2p1/3P3p/3NPP2/4B1PP/1R4K1 b - - 0 22,b8c7
